Sun Jan 23 17:27:45 2022    output.dat

         24747944 function calls (24565425 primitive calls) in 16.254 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 6664/700    0.008    0.000   14.559    0.021 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/solvers/linear/linear_runonce.py:15(solve)
     6992    0.007    0.000    0.010    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:870(_get_promotes_call_info)
     3123    0.007    0.000    0.011    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/sputils.py:265(check_shape)
   1177/5    0.007    0.000    0.174    0.035 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:1679(_setup_vectors)
    31556    0.007    0.000    0.007    0.000 {method 'match' of 're.Pattern' objects}
     1127    0.007    0.000    0.020    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:234(_setup_var_data)
     5618    0.007    0.000    0.015    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/recorders/recording_iteration_stack.py:161(__exit__)
    42649    0.007    0.000    0.026    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/record_util.py:135(check_path)
     1168    0.007    0.000    0.012    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:2316(add_subsystem)
1548/1546    0.007    0.000    0.078    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/compressed.py:27(__init__)
    22855    0.007    0.000    0.007    0.000 {method 'update' of 'dict' objects}
     1360    0.007    0.000    0.012    0.000 /usr/lib/python3/dist-packages/numpy/linalg/linalg.py:2325(norm)
1127/1113    0.006    0.000    0.442    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:134(_setup_procs)
     7328    0.006    0.000    0.031    0.000 /usr/lib/python3/dist-packages/numpy/core/numeric.py:166(ones)
     6112    0.006    0.000    0.006    0.000 {method 'astype' of 'numpy.ndarray' objects}
    11848    0.006    0.000    0.006    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:2138(_call_user_function)
     9960    0.006    0.000    0.022    0.000 <__array_function__ internals>:2(copyto)
    30386    0.006    0.000    0.019    0.000 /usr/lib/python3.8/fnmatch.py:64(fnmatchcase)
     1528    0.006    0.000    0.026    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/output.py:9(__init__)
   113158    0.006    0.000    0.006    0.000 {method 'add' of 'set' objects}
     6210    0.006    0.000    0.007    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/coo.py:239(getnnz)
     1257    0.005    0.000    0.014    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/jacobians/jacobian.py:137(__setitem__)
 6664/700    0.005    0.000   14.559    0.021 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:2710(_solve_linear)
      700    0.005    0.000    0.018    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/total_jac.py:1005(single_input_setter)
     3677    0.005    0.000    0.017    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/sputils.py:208(isshape)
     3838    0.005    0.000    0.005    0.000 {method 'dot' of 'numpy.ndarray' objects}
     1548    0.005    0.000    0.011    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/compressed.py:1140(prune)
      293    0.005    0.000    0.098    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/solvers/linear/scipy_iter_solver.py:179(solve)
     1698    0.005    0.000    0.011    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/utils/get_shape_val.py:6(get_shape_val)
     2696    0.005    0.000    0.010    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:260(<dictcomp>)
     9216    0.004    0.000    0.039    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/vector.py:364(__setitem__)
     1127    0.004    0.000    0.060    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:312(_setup_partials)
      330    0.004    0.000    0.005    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/_lib/_util.py:107(_aligned_zeros)
    20705    0.004    0.000    0.004    0.000 {built-in method _abc._abc_instancecheck}
    12402    0.004    0.000    0.013    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/base.py:238(nnz)
     4281    0.004    0.000    0.004    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     4509    0.004    0.000    0.005    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/digraph.py:574(add_edge)
     5618    0.004    0.000    0.008    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/recorders/recording_iteration_stack.py:149(__enter__)
     3531    0.004    0.000    0.008    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/general_utils.py:336(format_as_float_or_array)
    35979    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
     1125    0.004    0.000    0.071    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/explicitcomponent.py:116(_setup_partials)
     50/5    0.004    0.000    0.011    0.002 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:1311(_setup_var_sizes)
     3132    0.004    0.000    0.006    0.000 /usr/lib/python3/dist-packages/numpy/core/shape_base.py:24(atleast_1d)
     9450    0.004    0.000    0.011    0.000 <__array_function__ internals>:2(can_cast)
     3195    0.004    0.000    0.004    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/utils/gen_hex_name.py:2(gen_hex_name)
     7079    0.004    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:467(get_slice_dict)
     5372    0.004    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:3969(record_iteration)
       50    0.004    0.000    0.007    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/utils/graph.py:92(modified_topological_sort)
     1177    0.004    0.000    0.006    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:1450(_setup_procs)
     1302    0.004    0.000    0.011    0.000 /usr/lib/python3/dist-packages/numpy/core/numeric.py:1336(moveaxis)
      700    0.004    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/total_jac.py:1116(simple_single_jac_scatter)
     2604    0.003    0.000    0.005    0.000 /usr/lib/python3/dist-packages/numpy/core/numeric.py:1273(normalize_axis_tuple)
    20705    0.003    0.000    0.008    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
     1499    0.003    0.000    0.029    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/linalg/interface.py:201(matvec)
     2227    0.003    0.000    0.003    0.000 {method 'copy' of 'numpy.ndarray' objects}
    46607    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
     1168    0.003    0.000    0.008    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:1833(_get_promotion_maps)
     8086    0.003    0.000    0.003    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:74(<dictcomp>)
     1528    0.003    0.000    0.003    0.000 {built-in method scipy.sparse._sparsetools.coo_tocsr}
     1127    0.003    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:291(_setup_var_sizes)
     7641    0.003    0.000    0.006    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/options_dictionary.py:456(__setitem__)
     8143    0.003    0.000    0.003    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/node.py:133(add_dependent_node)
    26782    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
     50/5    0.003    0.000    0.166    0.033 /home/jyan_linux/Downloads/Software/csdl_om/csdl_om/core/simulator.py:252(build_group)
     1668    0.003    0.000    0.020    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/variable.py:28(__init__)
        5    0.003    0.001    0.004    0.001 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:679(_get_all_promotes)
     3901    0.003    0.000    0.005    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2986(ndim)
     1172    0.003    0.000    0.138    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/explicitcomponent.py:30(__init__)
     50/5    0.003    0.000    0.004    0.001 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:1383(_setup_global_connections)
     5924    0.003    0.000    0.007    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:351(_run_root_only)
     2044    0.003    0.000    0.003    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     1174    0.003    0.000    0.134    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:84(__init__)
      106    0.003    0.000    0.012    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/solvers/solver.py:320(<listcomp>)
     1321    0.003    0.000    0.031    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/implicitcomponent.py:160(_apply_linear)
     1566    0.003    0.000    0.007    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:1452(_find_partial_matches)
      176    0.003    0.000    0.005    0.000 /usr/lib/python3/dist-packages/numpy/lib/function_base.py:4225(delete)
      293    0.003    0.000    0.009    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/linalg/isolve/utils.py:32(make_system)
     7752    0.003    0.000    0.003    0.000 /usr/lib/python3/dist-packages/numpy/core/getlimits.py:508(min)
     2222    0.003    0.000    0.091    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/explicitcomponent.py:441(_linearize)
     3135    0.003    0.000    0.015    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2504(amax)
    17/13    0.003    0.000   14.685    1.130 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/total_jac.py:1277(compute_totals)
     5636    0.003    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/recorders/recording_iteration_stack.py:74(push)
     3122    0.003    0.000    0.006    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/sputils.py:91(to_native)
 8252/109    0.003    0.000    0.006    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/node.py:108(add_fwd_edges)
      252    0.003    0.000    0.100    0.000 /home/jyan_linux/Downloads/Software/csdl_om/csdl_om/comps/linear_combination.py:24(setup)
     1528    0.003    0.000    0.010    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/compressed.py:1055(__get_has_canonical_format)
      294    0.002    0.000    0.003    0.000 {built-in method _warnings.warn}
     2721    0.002    0.000    0.010    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/sputils.py:186(isintlike)
       52    0.002    0.000    0.028    0.001 /home/jyan_linux/Downloads/Software/csdl_om/csdl_om/comps/cross_product_comp.py:95(compute_partials)
     1177    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:1485(_setup_var_data)
     1168    0.002    0.000    0.005    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:1929(resolve)
     6162    0.002    0.000    0.019    0.000 {method 'min' of 'numpy.ndarray' objects}
     5636    0.002    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/recorders/recording_iteration_stack.py:87(pop)
     6992    0.002    0.000    0.006    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:86(copy)
    16116    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:2274(_recording_iter)
     8495    0.002    0.000    0.005    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:63(__init__)
     2676    0.002    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/digraph.py:378(add_node)
     2512    0.002    0.000    0.010    0.000 /usr/lib/python3/dist-packages/numpy/core/numeric.py:290(full)
     6162    0.002    0.000    0.019    0.000 {method 'max' of 'numpy.ndarray' objects}
     1887    0.002    0.000    0.003    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/operation.py:28(add_dependency_node)
      106    0.002    0.000    0.017    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/solvers/solver.py:317(<listcomp>)
     7092    0.002    0.000    0.015    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:83(_initialize_data)
     9369    0.002    0.000    0.003    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/sputils.py:278(<genexpr>)
      792    0.002    0.000    0.017    0.000 /home/jyan_linux/Downloads/Software/csdl_om/csdl_om/comps/array_expansion_comp.py:48(compute)
       64    0.002    0.000    0.013    0.000 /home/jyan_linux/Downloads/Software/csdl_om/csdl_om/comps/einsum_comp_sparse_derivs.py:304(compute_partials)
        5    0.002    0.000    0.010    0.002 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:4940(get_relevant_vars)
     2680    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:30(_valid_var_name)
      323    0.002    0.000    0.119    0.000 /home/jyan_linux/Downloads/Software/csdl_om/csdl_om/comps/power_combination.py:37(array_setup)
        5    0.002    0.000    0.039    0.008 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:880(_resolve_src_indices)
    33980    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:72(__iter__)
