Sun Jan 23 17:07:00 2022    output.dat

         1523460 function calls (1440650 primitive calls) in 2.255 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      609    0.002    0.000    0.059    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:84(__init__)
      859    0.002    0.000    0.014    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/variable.py:28(__init__)
     26/2    0.002    0.000    0.003    0.001 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:1383(_setup_global_connections)
     1668    0.002    0.000    0.010    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:2106(_transfer)
    10735    0.002    0.000    0.004    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
      585    0.002    0.000    0.034    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/explicitcomponent.py:116(_setup_partials)
     3088    0.002    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/vector.py:309(__getitem__)
        1    0.002    0.002    0.262    0.262 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/visualization/n2_viewer/n2_viewer.py:336(_get_viewer_data)
      971    0.002    0.000    0.002    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/operation.py:28(add_dependency_node)
     1390    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/digraph.py:378(add_node)
      795    0.002    0.000    0.002    0.000 {built-in method scipy.sparse._sparsetools.coo_tocsr}
     6528    0.002    0.000    0.005    0.000 {built-in method builtins.next}
        2    0.002    0.001    0.002    0.001 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:679(_get_all_promotes)
     3264    0.002    0.000    0.004    0.000 /usr/lib/python3.8/contextlib.py:117(__exit__)
  4431/55    0.002    0.000    0.004    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/node.py:108(add_fwd_edges)
      586    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:291(_setup_var_sizes)
     1288    0.002    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/recorders/recording_iteration_stack.py:161(__exit__)
       90    0.002    0.000    0.003    0.000 /usr/lib/python3/dist-packages/numpy/lib/function_base.py:4225(delete)
     1642    0.002    0.000    0.008    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2504(amax)
     3966    0.002    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/options_dictionary.py:456(__setitem__)
       55    0.002    0.000    0.007    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/solvers/solver.py:320(<listcomp>)
      368    0.002    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.c_einsum}
     26/2    0.002    0.000    0.076    0.038 /home/jyan_linux/Downloads/Software/csdl_om/csdl_om/core/simulator.py:252(build_group)
      608    0.002    0.000    0.062    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/explicitcomponent.py:30(__init__)
       63    0.002    0.000    0.017    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/solvers/linear/linear_block_gs.py:73(_single_iteration)
     1012    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
      580    0.001    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/algorithms/components/strongly_connected.py:15(strongly_connected_components)
      883    0.001    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:226(__imul__)
      608    0.001    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:1929(resolve)
     3977    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/core/getlimits.py:508(min)
     3405    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:74(<dictcomp>)
     4075    0.001    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:86(copy)
