Sun Jan 23 17:07:00 2022    output.dat

         1523460 function calls (1440650 primitive calls) in 2.255 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1733    0.001    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/graph.py:441(__getitem__)
     1733    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/coreviews.py:47(__iter__)
     1733    0.000    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/networkx/classes/coreviews.py:78(__getitem__)
     1668    0.002    0.000    0.010    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:2106(_transfer)
     1658    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1653    0.001    0.000    0.002    0.000 <__array_function__ internals>:2(empty_like)
     1653    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/multiarray.py:77(empty_like)
     1645    0.005    0.000    0.008    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/node.py:32(__init__)
     1645    0.002    0.000    0.003    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/utils/gen_hex_name.py:2(gen_hex_name)
     1642    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2499(_amax_dispatcher)
     1642    0.002    0.000    0.008    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2504(amax)
     1642    0.001    0.000    0.010    0.000 <__array_function__ internals>:2(amax)
     1614    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:233(__next)
     1610    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/general_utils.py:432(find_matches)
     1610    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/name_maps.py:4(rel_name2abs_name)
     1594    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/_lib/_util.py:133(_prune_array)
     1593    0.003    0.000    0.004    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/sputils.py:208(isshape)
     1593    0.004    0.000    0.005    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/sputils.py:265(check_shape)
     1592    0.001    0.000    0.002    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/data.py:20(__init__)
     1592    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/base.py:66(__init__)
     1592    0.001    0.000    0.003    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/sputils.py:91(to_native)
     1592    0.001    0.000    0.001    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
     1590    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/base.py:673(__getattr__)
     1579    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
     1542    0.000    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/general_utils.py:1162(shape2tuple)
